Building,Latitude,Longitude,Point 1 Lat,Point 1 Long,Point 2 Lat,Point 2 Long,Radius,,,,,,
Kennedy Hall,42.4482841449848,-76.4792364835739,42.4479951859782,-76.4789307117462,42.4486997686157,-76.4794993400573,0.000452707093286072,,,,,,
Plant Science Building,42.4482762283174,-76.4773106575012,42.4483237283065,-76.4777988195419,42.4483158116442,-76.4766830205917,0.000557913517229736,,,,,,
Ag School,42.4487393516748,-76.4763289690017,42.4485176862216,-76.4766025543212,42.4489887243721,-76.4760392904281,0.000367131840248205,,,,,,
Warren Hall,42.4492024716082,-76.477101445198,42.4492064298834,-76.4778041839599,42.4491787219513,-76.476371884346,0.000716283797371527,,,,,,
Computing and Communications Center,42.4492737205248,-76.4790487289428,42.4494162181149,-76.4788287878036,42.4491905967809,-76.479257941246,0.000242424041447845,,,,,,
Martha Van Rensselaer Hall,42.4499862052335,-76.478726863861,42.4499743305547,-76.4793169498443,42.4499584976463,-76.4781099557876,0.000603548948698784,,,,,,
Caldwell Hall,42.4492064298834,-76.4782708883285,42.4492183047077,-76.4785283803939,42.4492183047077,-76.4780133962631,0.000257492065401266,,,,,,
Emerson Hall,42.4483474782876,-76.4757817983627,42.4483039366488,-76.4761465787887,42.4483276866373,-76.475476026535,0.000335486358474095,,,,,,
Bradfield Hall,42.4479516440945,-76.4757925271987,42.4478051848091,-76.4759802818298,42.4480545612253,-76.4756476879119,0.000207850493854974,,,,,,
Fernow Hall,42.4484108115263,-76.4751541614532,42.4484226865015,-76.4754277467727,42.448402894875,-76.4748966693878,0.000265723021783539,,,,,,