Building,Latitude,Longitude,Point 1 Lat,Point 1 Long,Point 2 Lat,Point 2 Long,Radius 1,Point 3 Lat,Point 3 Long,Point 4 Lat,Point 4 Long,Radius 2,Average radius
The Cornell Store,42.4467443343568,-76.484308540821,42.4467700641513,-76.4849549531936,42.4467601680777,-76.4836554229259,0.000649783973507238,42.4463009885466,-76.4842897653579,42.4469561100428,-76.4844077825546,0.000332833379298815,0.000491308676403027
Willard Straight Hall,42.4465939138086,-76.4856791496276,42.4462762481746,-76.4858052134513,42.446813112053,-76.4853955060243,0.000337669586900006,42.4462871339394,-76.4853331446647,42.4468373574099,-76.4859004318714,0.000395145746016439,0.000366407666458222
Sage Hall,42.4459575913095,-76.4832705259323,42.4456636734473,-76.4836513996124,42.4462119231616,-76.4828708767891,0.000476915513201682,42.4461574942528,-76.4836607873439,42.4456438809492,-76.4829111099243,0.000454371780341679,0.00046564364677168
Olin Library,42.4478873208018,-76.4842173457145,42.4476399229069,-76.4837184548378,42.4480506028772,-76.4846458286047,0.000507119350236967,42.4476181518454,-76.4847256243228,42.448066436268,-76.4837506413459,0.000536551658461708,0.000521835504349337
Uris Hall,42.4472213234435,-76.4821989834308,42.4474330975169,-76.482500731945,42.447030330324,-76.4819388091564,0.000345679993641863,42.4470219186966,-76.4824866503477,42.4474380455007,-76.4819414913654,0.000342913922530504,0.000344296958086184
Goldwin Smith Hall,42.4491114312079,-76.4834904670715,42.4490797649507,-76.4837184548378,42.4490817440923,-76.4830639958381,0.000327230996123576,42.4485651860276,-76.4834904670715,42.449615120459,-76.483573615551,0.000526610857246726,0.000426920926685151
Bailey Hall,42.4493014284149,-76.480164527893,42.4489768495043,-76.4801242947578,42.4494914250456,-76.480167210102,0.000258180999724134,42.4492915327413,-76.480428725481,42.4492905431738,-76.4798574149608,0.00028565568860765,0.000271918344165892
Physical Sciences Building,42.4497843353889,-76.481784582138,42.4494854876596,-76.482149362564,42.4501663042517,-76.481427848339,0.000496007562686011,42.4500495368154,-76.4821587502956,42.449481529402,-76.4813862740993,0.000479414198666337,0.000487710880676174
Rand Hall,42.4509480467349,-76.4840912818908,42.4508035735425,-76.4842300862073,42.4510380949259,-76.4839471131563,0.000183762092706203,42.4510321576865,-76.4842367917299,42.4508174271508,-76.4839444309473,0.000181372565565761,0.000182567329135982
Milstein Hall,42.4511558500573,-76.4835374057293,42.4508946114834,-76.4832041412592,42.4513992759295,-76.4838431775569,0.000407140514119368,42.4514151084738,-76.4832450449466,42.4508985696517,-76.4838163554668,0.000385100008190362,0.000396120261154865
Lincoln Hall,42.4501801580009,-76.4834663271904,42.4499090197815,-76.4837278425693,42.4504512950465,-76.4837680757045,0.000271882864574579,42.4501880744276,-76.4837305247783,42.450203907278,-76.4829640835523,0.000383302371519844,0.000327592618047212
Johnson Museum,42.4507070929717,-76.486216597259,42.4505725146964,-76.4863285794854,42.4508654199841,-76.4860744401812,0.000193894490318968,42.450857503643,-76.4863346144557,42.4505749885644,-76.4860912039876,0.000186456044162607,0.000190175267240788
Sage Chapel,42.4472074690399,-76.4844238758087,42.4472292402442,-76.4841489493846,42.4472094482406,-76.484749764204,0.000300570362231721,42.4471263217574,-76.4844761788845,42.4474093471892,-76.4842374622821,0.000185127666294928,0.000242849014263324
The Statler Hotel,42.4462990093172,-76.4821828901767,42.4460911898819,-76.4824041724205,42.4467087084702,-76.4820232987403,0.000362765064182217,42.446720583768,-76.4823773503303,42.4460199373454,-76.4820072054863,0.000396204686696796,0.000379484875439507
Teagle Hall,42.4457863867966,-76.4790420234203,42.4455370013509,-76.4794979989528,42.4459882695254,-76.4785753190517,0.000513561380265709,42.4460238958218,-76.4795999228954,42.4455468976176,-76.4785645902156,0.000569965140313214,0.000541763260289461
Ives Hall,42.4469343387436,-76.4810416102409,42.4465701631627,-76.4814975857734,42.4473974720219,-76.4804729819297,0.000658455196851515,42.4473737216807,-76.4815512299537,42.4466572488203,-76.4806231856346,0.000586216602010613,0.000622335899431064
Uris Library,42.4477497676929,-76.4853143692016,42.4475597657794,-76.4855973422527,42.4479457065625,-76.4851708710193,0.000287588247748557,42.447741850958,-76.485650986433,42.4477616427933,-76.4849804341793,0.000335422137641359,0.000311505192694958